ID,Single Task - Cognitive performance,Single Task - Motor performance,Dual Task - Cognitive performance,Dual Task - Motor performance,Cognitive Dual Task Effect,Motor Dual Task Effect,Dual Task Effect
1,14.97898651,15.44820299,21.13898374,17.90350497,41.12425914722317,-15.893770826220868,Cognitive priority tradeoff
2,13.48028925,19.57888123,14.48854101,14.7529204,7.479451970958266,24.64880793395568,Mutual facilitation
3,15.44213875,12.06779162,11.14646008,7.74518034,-27.817899706412103,35.81940603644596,Motor priority trade off
4,11.90332329,15.02299776,7.75540158,16.65464607,-34.846753372519714,-10.86100348323554,Mutual interference
5,10.40251621,15.41428928,15.57637495,18.25569465,49.73660829315833,-18.43358015660647,Cognitive priority tradeoff
6,17.20050227,11.53435001,11.39124907,15.48966673,-33.77374165481273,-34.291630794720426,Mutual interference
7,15.49320746,16.98764647,5.22986744,9.89775582,-66.24412696013819,41.735567446147826,Motor priority trade off
8,10.75985418,14.05783247,15.56594141,11.89467038,44.66684352408205,15.38759331935614,Mutual facilitation
9,12.26164879,19.10503859,21.72078185,16.50136986,77.14405478416904,13.628178334917454,Mutual facilitation
10,16.3019333,18.70198154,5.92404595,8.74023549,-63.66046995174492,53.265724964457426,Motor priority trade off
